mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p04_s03_lu013,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,conducing,conducing,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu014,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,more,more,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu015,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,essentially,essentially,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,to,to,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu018,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,ends,ends,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu019,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu020,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,civil,civil,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu021,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,and,and,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu022,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,religious,religious,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu023,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,liberty,liberty,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu024,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,than,than,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu025,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,any,any,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu026,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu027,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,which,which,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu028,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu029,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,history,history,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu030,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu031,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,former,former,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu032,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,times,times,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu033,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,tells,tells,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu034,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,us,us,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s04_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s04,We,we,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s04_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s04,when,when,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
